User, anti-Dragas, neutral about Dragas, pro-Dragas, anti-Sullivan, neutral about Sullivan, pro-Sullivan
, 0, 0, 0, 0, 0, 0
, 0, 0, 0, 0, 0, 0
, 0, 0, 0, 0, 0, 0
, 0, 0, 0, 0, 0, 0
, 0, 0, 0, 0, 0, 4
, 15, 3,1, 0, 1, 61
Thomas Jefferson, 29, 63, 7, 0, 215, 297
Siva Vaidhyanathan, 558, 1797, 228, 90, 1044, 592
The Cavalier Daily, 362, 792, 83, 96, 699, 410
Aaron Dotson, 372, 1348, 86, 67, 822, 692
Larry Sabato, 309,1000, 161, 27, 528, 386
Chronicle, 95, 315, 46, 13, 220, 158
Larry Sabato, 65, 179, 30, 2, 322, 265
UVA, 103, 234, 30, 44, 198, 196
UVA, 451, 2212, 368, 57, 1771, 2478
Jenna Johnson, 57, 191, 31, 6, 185, 332
The Washington Post, 12, 105, 5, 7, 78, 126
Jenna Johnson, 95, 408, 36, 2, 100, 70
Emmi, 17, 92, 15, 0, 18, 7
